"453657019,2024-11-13T06:50:39Z,1403/08/23 10:20,omid,omid6429,twit,#خودرو کف ش شد 300، هرکی فروشنده باشه یعنی سود دوست نداره و سودش دو دستی میده به خریدار"
"72b1c904-1a3b-460f-9d43-896925ab040f,,,,,all,"
"453657003,2024-11-13T06:50:03Z,1403/08/23 10:20,جواد زنجانی,javadzanjane,twit,#وسالت \nچه دل و جراتی دارن فروشنده ها \n#شاخص_بورس"
"453656992,2024-11-13T06:49:34Z,1403/08/23 10:19,Eich,eich,twit,#شاروم خو یکم حمایت کن حقوقی بی مصرف"
"453656984,2024-11-13T06:49:14Z,1403/08/23 10:19,Ah707@,sad330920,twit,#ولانا  افرین تفضلی  جمع کن  دیگه شما قیمت پایه سهم رو میدونی .."
"453656974,2024-11-13T06:48:56Z,1403/08/23 10:18,bourse_free_edu,arash1386,twit,#ثبهساز دمتگرم 270 تومن خریدم پول هم نداشتم میانگین کم کنم حداقل ما را سربه سر کن"
"453656971,2024-11-13T06:48:53Z,1403/08/23 10:18,سیدمیرزا,raadraad,twit,#شتران ۱۵۰ واحد رشد شاخص ده تومن رشد شتران \n\nاجازه بدید خوشحال نباشم 😕😕😕"
"453656968,2024-11-13T06:48:52Z,1403/08/23 10:18,arastoo,masteraccount,twit,#شستا تا 200 تومن سهامدار شستا خواهیم بود .🌺🌺"
"453656932,2024-11-13T06:48:09Z,1403/08/23 10:18,ورود و خروج و استراتژی حرفه ای,homeyra70,twit,#حفارس دوستان ما خرید کنند"
"453656918,2024-11-13T06:47:46Z,1403/08/23 10:17,ورود و خروج و استراتژی حرفه ای,homeyra70,twit,#حفارس صف جمع میشه"
"453656901,2024-11-13T06:47:05Z,1403/08/23 10:17,Moriiii25,miiii25,twit,سود وپترو واریز شد..مبارک سهامداران عزیز..."
