"453734509,2024-11-18T06:43:27Z,1403/08/28 10:13,Heidarbaba,heidarbaba2022,twit,#کلید \nبالای ۱۱۰ میلیون سهم یعنی ۱۱درصد کل صندوق توی یک ساعت معامله شد!!!!!!!!\nکل سهام صندوق ۱ میلیارد!!!!!!!!\nسهام معامله شده در این ۴ روز بالای ۴۰۰میلیون!!!!!!\nقراره غوغا بشه فکر کنم.\nسهامداری میکنیم ببینیم چی میشه.\nفکر کنم عید ۳ هزار تومانه البته شاید....\nآرزو بر جوانان عیب نیست"
"025c123b-114b-425a-83ce-fe582b739fc7,,,,,all,"
"453734503,2024-11-18T06:43:23Z,1403/08/28 10:13,drogon,drogon,quote,این پیشخور باید تا ۱۳۰۰ بالا بره و بعد تازه ببینیم مدیر جدید چکارست واقعا عالی میشه اینها دور ریخته بشن"
"453734497,2024-11-18T06:43:16Z,1403/08/28 10:13,حاجی واشنگتن,arefy,twit,همیشه سهامدار باید از یه طرفی بالاخره بد ببینه\nیه قت از ریزش دستوری بازار وقت بازار سبزه\nیه وقت از محدود کردن دامنه بازار وقتی بازار سبزه\nاین است داستان مدیریت بر بازار سرمایه ایران\nبه هر حال هستند دستانی که به سوی دارائی سهامدار، دراز شده اند"
"453734492,2024-11-18T06:43:08Z,1403/08/28 10:13,علی علی,zahrazahed,twit,#خودرو فردا خودرو و سایپا دیدن دارن"
"453734487,2024-11-18T06:42:42Z,1403/08/28 10:12,محمد صالح سهرابی,85203685saleh,quote,یادتان هست؟ مزد صبرتان را با صف های محکم بگیرید"
"453734484,2024-11-18T06:42:21Z,1403/08/28 10:12,بالاتراز سیاهی رنگ خداست,hhhhhhr,twit,#شاخص_بورس یک کلام و خدا نگهدار \nاگه نوسانگیری بلدی بسم الله والا ضرر پشت ضرر هنگفت چیزی نیست شما هرگز تاکید میکنم هرگز با معامله الگوریتم های جدید برنده نمیشود این توئیت رو هفته دیگه انشاالله باز خواهی دید این خط__و__این نشان بماند یادگاری از بنده لطفا لطفا ملاک خرید وفروش قرار ندهید ممنونم.دوست دار شما عزیزان مرد تنهایی شب"
"453734475,2024-11-18T06:42:07Z,1403/08/28 10:12,صالحی,1991behzad,quote,چقدر حرفه ای و متفکرانه از سال 99 تا الان سرمایه ملت رو بدام انداختن خود حاکمیت هم دیده داره ضایع میشه انقدر بورس و قیمت ها رو سرکوب کرده قیمت کل بورس شده 100 میلیارد دلار یعنی ایلان ماسک با درآمد چند ماهش میتونه کل شرکت های ایرانی رو بخره انقدر مفت شده"
"453734471,2024-11-18T06:42:04Z,1403/08/28 10:12,کیان,sahaam20,quote,#حفاری 👍\nیک داستانی هم هست، حفاری را یک سری صندوقها برای نوسانگیری خریده بودن، دارن می‌فروشن. صندوقهای آگاه و ....\nاینجا جای فروش نیست"
"453734468,2024-11-18T06:42:03Z,1403/08/28 10:12,ایرانی,m.taghikhani,twit,#دی دوستان افشای ب مگر نباید امروز باز می شد"
"453734464,2024-11-18T06:41:59Z,1403/08/28 10:11,بنیاد کار,khodakhoda124,twit,#فسوژ کلا ۱۲۰ هزارتا فروشنده توی سیستم نشسته اگر قصد خرید دارید دست دست نکنید از فروشنده بردارید ۱۰ تومن ۲۰ تومن برای سهمی که ۲۰ هزار تومن ارزش داره چیزی نیست کلا مفت دارن میفروشن."
